Deutsch,Latein,Standort (Boden),Standort (Licht),Blütezeit,Aussaatzeit,Tags,Blütenfarbe,Höhe min,Höhe max,Formula,Typ
Levkoje rosa,Matthiola incana,normal,sonnig,,normal,einjährig,rosa,40,70,No,Staude
Prachtwinde,Ipomea tricolor,normal,sonnig,,normal,einjährig,"blau, pink, rosa",10,500,No,Staude
Wiesen-Storchschnabel,Geranium pratense,"feucht, normal, trocken",sonnig,"August, Juli, Juni",kalt,schwierige Anzucht,violett,60,80,Yes,Staude
"Dahlie ""Unwins Mix""",Dahlia hortensis,normal,sonnig,,normal,einjährig,"gelb, lila, rosa, rot, weiß",50,80,No,Staude
Mädchenauge niedrig,Coreopsis tinctoria,normal,sonnig,,normal,einjährig,dunkelrot,10,30,No,Staude
Moschus-Malve,Malva moschata,"normal, trocken",sonnig,,kühl,Dunkelkeimer,rosa,40,70,No,Staude
Glattblatt-Aster,Aster novi-belgii,"feucht, normal",sonnig,,normal,,"blau, rosa, rot, violett",100,150,No,Staude
Goldmohn,Eschscholzia californica,trocken,sonnig,,normal,einjährig,orange,30,50,No,Staude
Ysop,Hyssopus officinales,"normal, trocken",sonnig,,normal,,"blau, rosa, weiß",40,70,No,Staude
Weiße Moschus-Malve,Malva moschata var. Alba,"normal, trocken",sonnig,,kühl,Dunkelkeimer,"rosa, weiß",40,70,No,Staude
Weiße Bergminze,Agastache rugosa var. Alba,normal,sonnig,,normal,,weiß,40,70,No,Staude
Argentinisches Eisenkraut,Verbena bonariensis,normal,sonnig,"August, Juli, Oktober, September",kühl,,violett,70,100,No,Staude
Mandelröschen,Clarkia elegans,normal,sonnig,,normal,einjährig,"rosa, violett, weiß",50,80,No,Staude
Mazedonische Witwenblume,Knautia macedonia var. Melton Pastels,"normal, trocken",sonnig,,kühl,,"blau, rosa, rot",100,150,No,Staude
Himmelsleiter,Polemonium caeruleum,"feucht, normal",halbschattig,,normal,mehrjährig,violett,60,80,No,Staude
Nachtviole,Hesperis matronalis,normal,halbschattig,,normal,zweijährig,blau,40,80,No,Staude
Vergissmeinnicht,Myosotis sylvatica,feucht,halbschattig,,normal,zweijährig,blau,20,50,No,Staude
Arznei-Beinwell,Sypmhytum officinale,"feucht, nass",halbschattig,"August, Juli, Juni, Mai",kühl,,violett,70,100,No,Staude
Gewöhnliche Schafgarbe,Achillea millefolium,,,,,,,,,No,
Clematis “Warszawska Nike”,,,,"August, Juli, Juni, September",,,,,,No,
Clematis “Niobe”,,,,"August, Juli, Juni, Mai, September",,,,,,No,
Clematis “Dr. Ruppel”,,,,"August, Juli, Juni, Mai, September",,,,,,No,
